問題識別碼,描述,狀態,嚴重性,故事點,專案路徑,位置種類,路徑,行,資料行,事件識別碼,說明連結,組件名稱,組件版本,組件公開金鑰,程式碼片段
NuGet.0002,建議升級 NuGet 套件,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\CodeGenerator.csproj,,,Microsoft.EntityFrameworkCore 3.1.21,,,,,"Microsoft.EntityFrameworkCore, 3.1.21  建議：  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 8.0.24"
NuGet.0002,建議升級 NuGet 套件,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\CodeGenerator.csproj,,,Microsoft.EntityFrameworkCore.Relational 3.1.21,,,,,"Microsoft.EntityFrameworkCore.Relational, 3.1.21  建議：  Remove Microsoft.EntityFrameworkCore.Relational, and replace with new package Microsoft.EntityFrameworkCore.Relational 8.0.24"
Project.0002,必須變更專案的目標架構,Active,Mandatory,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\CodeGenerator.csproj,,,,,,,,目前的目標架構: netcoreapp3.1 建議的目標架構: net8.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,119,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""DataContextName""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,116,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""DataContextName""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,107,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ClassNameSpace""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,104,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""ClassNameSpace""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,95,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""SolutionItems""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,92,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Collections.Specialized.StringCollection)(this[""SolutionItems""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,82,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""Solution""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,79,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""Solution""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,70,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""CntStringItems""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,67,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Collections.Specialized.StringCollection)(this[""CntStringItems""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,57,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""CntString""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,54,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""CntString""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,45,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""FormHeight""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,42,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((double)(this[""FormHeight""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,33,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""FormWidth""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,30,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((double)(this[""FormWidth""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\obj\Release\netcoreapp3.1\App.g.i.cs,71,12,M:System.Windows.Application.Run,,,,,app.Run();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\obj\Release\netcoreapp3.1\App.g.i.cs,56,12,P:System.Windows.Application.StartupUri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\obj\Release\netcoreapp3.1\App.g.i.cs,50,12,T:System.Windows.ExitEventHandler,,,,,this.Exit += new System.Windows.ExitEventHandler(this.onExit);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\obj\Release\netcoreapp3.1\App.g.i.cs,50,12,T:System.Windows.ExitEventHandler,,,,,this.Exit += new System.Windows.ExitEventHandler(this.onExit);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\obj\Release\netcoreapp3.1\App.g.i.cs,50,12,E:System.Windows.Application.Exit,,,,,this.Exit += new System.Windows.ExitEventHandler(this.onExit);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\App.xaml.cs,50,2,T:System.Windows.ExitEventArgs,,,,,"private void onExit(object sender, ExitEventArgs e)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CodeGenerator\CodeGenerator.csproj,File,CodeGenerator\App.xaml.cs,55,3,M:System.Configuration.ApplicationSettingsBase.Save,,,,,Settings.Default.Save();
